config	cv_len	cv_min_index	cv_interior	err_first	err_min	err_last
cls-diagnosis	80	10	True	0.7266666666666666	0.36	0.42666666666666664
reg-age-cvmin	80	8	True	168.2128911564626	165.07499862866626	390.43867387291857
reg-age-onese	80	8	True	168.2128911564626	165.07499862866626	390.43867387291857
