feature_id	prevalence	total_counts	max_in_one_sample	taxon
ref_mOTU_v31_07728	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; m__ref_mOTU_v31_07728
ext_mOTU_v31_17878	2	2.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_17878
meta_mOTU_v31_12314	2	2.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__meta_mOTU_v31_12314
meta_mOTU_v31_12324	2	2.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_12324
meta_mOTU_v31_12403	2	2.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__meta_mOTU_v31_12403
ref_mOTU_v31_02135	2	2.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ref_mOTU_v31_02135
ref_mOTU_v31_02701	2	2.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; m__ref_mOTU_v31_02701
ref_mOTU_v31_03626	2	2.0	1.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; m__ref_mOTU_v31_03626
ref_mOTU_v31_03632	2	2.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__ref_mOTU_v31_03632
ref_mOTU_v31_03633	2	2.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__ref_mOTU_v31_03633
ref_mOTU_v31_03668	2	2.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; m__ref_mOTU_v31_03668
ref_mOTU_v31_03690	2	2.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; m__ref_mOTU_v31_03690
ref_mOTU_v31_03692	2	2.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; m__ref_mOTU_v31_03692
ref_mOTU_v31_05265	2	2.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia; m__ref_mOTU_v31_05265
ref_mOTU_v31_09167	2	2.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_09167
ref_mOTU_v31_08058	1	344.0	344.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_08058
meta_mOTU_v31_14033	1	73.0	73.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_14033
ref_mOTU_v31_07741	1	45.0	45.0	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; m__ref_mOTU_v31_07741
ext_mOTU_v31_17861	1	33.0	33.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; m__ext_mOTU_v31_17861
ref_mOTU_v31_05988	1	33.0	33.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; m__ref_mOTU_v31_05988
ref_mOTU_v31_02698	1	32.0	32.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; m__ref_mOTU_v31_02698
meta_mOTU_v31_12973	1	30.0	30.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; m__meta_mOTU_v31_12973
ref_mOTU_v31_03701	1	24.0	24.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; m__ref_mOTU_v31_03701
meta_mOTU_v31_12376	1	16.0	16.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__meta_mOTU_v31_12376
ref_mOTU_v31_03594	1	16.0	16.0	k__Bacteria; p__Bacteria phylum [Proteobacteria/Firmicutes]; c__Bacteria class [Alphaproteobacteria/Bacilli]; o__Bacteria order [Lactobacillales/Rhodospirillales]; f__Bacteria fam. [Lactobacillaceae/Rhodospirillaceae]; g__Bacteria gen. [Rhodospirillum/Lactobacillus/Azospirillum]; m__ref_mOTU_v31_03594
meta_mOTU_v31_12233	1	15.0	15.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_12233
meta_mOTU_v31_12404	1	15.0	15.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12404
ext_mOTU_v31_18029	1	14.0	14.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__; m__ext_mOTU_v31_18029
ref_mOTU_v31_03571	1	14.0	14.0	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Finegoldia; m__ref_mOTU_v31_03571
ref_mOTU_v31_04354	1	14.0	14.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_04354
ext_mOTU_v31_27224	1	13.0	13.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__ext_mOTU_v31_27224
ref_mOTU_v31_00853	1	13.0	13.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__ref_mOTU_v31_00853
ref_mOTU_v31_04194	1	11.0	11.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; m__ref_mOTU_v31_04194
ref_mOTU_v31_04664	1	11.0	11.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__ref_mOTU_v31_04664
meta_mOTU_v31_12463	1	9.0	9.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12463
ext_mOTU_v31_16330	1	7.0	7.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16330
ref_mOTU_v31_03343	1	7.0	7.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_03343
ext_mOTU_v31_17888	1	6.0	6.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__; m__ext_mOTU_v31_17888
meta_mOTU_v31_12417	1	6.0	6.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_12417
meta_mOTU_v31_13280	1	6.0	6.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13280
ref_mOTU_v31_01002	1	6.0	6.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; m__ref_mOTU_v31_01002
ref_mOTU_v31_02140	1	6.0	6.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ref_mOTU_v31_02140
ref_mOTU_v31_02792	1	6.0	6.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__ref_mOTU_v31_02792
ref_mOTU_v31_03688	1	6.0	6.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ref_mOTU_v31_03688
meta_mOTU_v31_13147	1	5.0	5.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13147
meta_mOTU_v31_13962	1	5.0	5.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella; m__meta_mOTU_v31_13962
ref_mOTU_v31_03066	1	5.0	5.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella; m__ref_mOTU_v31_03066
ext_mOTU_v31_16242	1	4.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_16242
meta_mOTU_v31_12288	1	4.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12288
meta_mOTU_v31_12635	1	4.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12635
meta_mOTU_v31_12654	1	4.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12654
ref_mOTU_v31_01077	1	4.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Peptostreptococcus; m__ref_mOTU_v31_01077
ref_mOTU_v31_01349	1	4.0	4.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; m__ref_mOTU_v31_01349
ext_mOTU_v31_16446	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Flavonifractor; m__ext_mOTU_v31_16446
ext_mOTU_v31_16533	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16533
ext_mOTU_v31_17541	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_17541
ext_mOTU_v31_17871	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__ext_mOTU_v31_17871
ext_mOTU_v31_18028	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_18028
ext_mOTU_v31_18031	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__ext_mOTU_v31_18031
ext_mOTU_v31_18046	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; m__ext_mOTU_v31_18046
ext_mOTU_v31_18233	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__ext_mOTU_v31_18233
ext_mOTU_v31_26761	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; m__ext_mOTU_v31_26761
ext_mOTU_v31_27078	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; m__ext_mOTU_v31_27078
ext_mOTU_v31_27225	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__ext_mOTU_v31_27225
ext_mOTU_v31_27248	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_27248
meta_mOTU_v31_12229	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12229
meta_mOTU_v31_12662	1	3.0	3.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; m__meta_mOTU_v31_12662
meta_mOTU_v31_13286	1	3.0	3.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; m__meta_mOTU_v31_13286
meta_mOTU_v31_14048	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__meta_mOTU_v31_14048
meta_mOTU_v31_14385	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_14385
meta_mOTU_v31_14434	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaeromassilibacillus; m__meta_mOTU_v31_14434
ref_mOTU_v31_00282	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; m__ref_mOTU_v31_00282
ref_mOTU_v31_02372	1	3.0	3.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; m__ref_mOTU_v31_02372
ref_mOTU_v31_02970	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ref_mOTU_v31_02970
ref_mOTU_v31_03628	1	3.0	3.0	k__Bacteria; p__; c__; o__; f__; g__; m__ref_mOTU_v31_03628
ref_mOTU_v31_03698	1	3.0	3.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Paraprevotella; m__ref_mOTU_v31_03698
ref_mOTU_v31_04396	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; m__ref_mOTU_v31_04396
ref_mOTU_v31_06282	1	3.0	3.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; m__ref_mOTU_v31_06282
ref_mOTU_v31_10413	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__ref_mOTU_v31_10413
ref_mOTU_v31_11382	1	3.0	3.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemanella; m__ref_mOTU_v31_11382
ext_mOTU_v31_16253	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_16253
ext_mOTU_v31_16259	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16259
ext_mOTU_v31_16294	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ext_mOTU_v31_16294
ext_mOTU_v31_16401	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; m__ext_mOTU_v31_16401
ext_mOTU_v31_16495	1	2.0	2.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; m__ext_mOTU_v31_16495
ext_mOTU_v31_17451	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__ext_mOTU_v31_17451
ext_mOTU_v31_17583	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_17583
ext_mOTU_v31_17712	1	2.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_17712
ext_mOTU_v31_17713	1	2.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_17713
ext_mOTU_v31_18252	1	2.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__; m__ext_mOTU_v31_18252
ext_mOTU_v31_18397	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_18397
ext_mOTU_v31_26918	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; m__ext_mOTU_v31_26918
ext_mOTU_v31_34556	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_34556
meta_mOTU_v31_12251	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12251
meta_mOTU_v31_12352	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__meta_mOTU_v31_12352
meta_mOTU_v31_12508	1	2.0	2.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum; m__meta_mOTU_v31_12508
meta_mOTU_v31_12766	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__meta_mOTU_v31_12766
meta_mOTU_v31_12952	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12952
meta_mOTU_v31_13006	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13006
meta_mOTU_v31_14207	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_14207
meta_mOTU_v31_14346	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_14346
ref_mOTU_v31_00182	1	2.0	2.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; m__ref_mOTU_v31_00182
ref_mOTU_v31_00830	1	2.0	2.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; m__ref_mOTU_v31_00830
ref_mOTU_v31_01001	1	2.0	2.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; m__ref_mOTU_v31_01001
ref_mOTU_v31_01006	1	2.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; m__ref_mOTU_v31_01006
ref_mOTU_v31_01017	1	2.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; m__ref_mOTU_v31_01017
ref_mOTU_v31_01949	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Acidaminococcus; m__ref_mOTU_v31_01949
ref_mOTU_v31_02555	1	2.0	2.0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; m__ref_mOTU_v31_02555
ref_mOTU_v31_02680	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Fusicatenibacter; m__ref_mOTU_v31_02680
ref_mOTU_v31_03116	1	2.0	2.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; m__ref_mOTU_v31_03116
ref_mOTU_v31_03618	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_03618
ref_mOTU_v31_03658	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales fam. [Lachnospiraceae/Ruminococcaceae]; g__Clostridiales gen. [Ruminococcus/Blautia]; m__ref_mOTU_v31_03658
ref_mOTU_v31_03667	1	2.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Coprobacter; m__ref_mOTU_v31_03667
ref_mOTU_v31_03697	1	2.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Odoribacteraceae; g__Odoribacter; m__ref_mOTU_v31_03697
ref_mOTU_v31_04030	1	2.0	2.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomycetaceae gen. [Actinomyces/Schaalia]; m__ref_mOTU_v31_04030
ref_mOTU_v31_05921	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania; m__ref_mOTU_v31_05921
ref_mOTU_v31_06308	1	2.0	2.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; m__ref_mOTU_v31_06308
ref_mOTU_v31_06317	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; m__ref_mOTU_v31_06317
ref_mOTU_v31_07592	1	2.0	2.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum; m__ref_mOTU_v31_07592
ref_mOTU_v31_07619	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_07619
ref_mOTU_v31_08610	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Candidatus Stoquefichus; m__ref_mOTU_v31_08610
ref_mOTU_v31_11823	1	2.0	2.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Megasphaera; m__ref_mOTU_v31_11823
ref_mOTU_v31_11860	1	2.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; m__ref_mOTU_v31_11860
ext_mOTU_v31_15328	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ext_mOTU_v31_15328
ext_mOTU_v31_15405	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ext_mOTU_v31_15405
ext_mOTU_v31_16202	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; m__ext_mOTU_v31_16202
ext_mOTU_v31_16237	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_16237
ext_mOTU_v31_16278	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16278
ext_mOTU_v31_16279	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16279
ext_mOTU_v31_16303	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__ext_mOTU_v31_16303
ext_mOTU_v31_16331	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16331
ext_mOTU_v31_16347	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_16347
ext_mOTU_v31_16412	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__ext_mOTU_v31_16412
ext_mOTU_v31_16503	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ext_mOTU_v31_16503
ext_mOTU_v31_17396	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Flavonifractor; m__ext_mOTU_v31_17396
ext_mOTU_v31_17400	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; m__ext_mOTU_v31_17400
ext_mOTU_v31_17476	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__ext_mOTU_v31_17476
ext_mOTU_v31_17496	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_17496
ext_mOTU_v31_17714	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_17714
ext_mOTU_v31_17729	1	1.0	1.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; m__ext_mOTU_v31_17729
ext_mOTU_v31_17787	1	1.0	1.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__; m__ext_mOTU_v31_17787
ext_mOTU_v31_17843	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; m__ext_mOTU_v31_17843
ext_mOTU_v31_17915	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__ext_mOTU_v31_17915
ext_mOTU_v31_17985	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_17985
ext_mOTU_v31_18001	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ext_mOTU_v31_18001
ext_mOTU_v31_18008	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_18008
ext_mOTU_v31_18155	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_18155
ext_mOTU_v31_18178	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_18178
