feature_id	prevalence	total_counts	max_in_one_sample	taxon
ref_mOTU_v31_05238	5	16.0	8.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Flavonifractor; m__ref_mOTU_v31_05238
ref_mOTU_v31_00857	5	14.0	5.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; m__ref_mOTU_v31_00857
ref_mOTU_v31_02154	5	12.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_02154
ref_mOTU_v31_02971	5	12.0	6.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Flavonifractor; m__ref_mOTU_v31_02971
ref_mOTU_v31_06112	5	10.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__ref_mOTU_v31_06112
ref_mOTU_v31_07647	5	7.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_07647
ref_mOTU_v31_03442	5	6.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; m__ref_mOTU_v31_03442
meta_mOTU_v31_12609	5	5.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_12609
ref_mOTU_v31_00087	4	432.0	293.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Raoultella; m__ref_mOTU_v31_00087
ref_mOTU_v31_01098	4	213.0	92.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; m__ref_mOTU_v31_01098
ref_mOTU_v31_00312	4	159.0	127.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; m__ref_mOTU_v31_00312
ext_mOTU_v31_17914	4	40.0	20.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__ext_mOTU_v31_17914
ref_mOTU_v31_03804	4	35.0	27.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_03804
ref_mOTU_v31_03703	4	25.0	22.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_03703
ext_mOTU_v31_29425	4	20.0	11.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__ext_mOTU_v31_29425
ref_mOTU_v31_03341	4	20.0	10.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__ref_mOTU_v31_03341
meta_mOTU_v31_12476	4	19.0	12.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12476
ref_mOTU_v31_02790	4	17.0	13.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; m__ref_mOTU_v31_02790
ref_mOTU_v31_05204	4	17.0	13.0	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Peptoniphilus; m__ref_mOTU_v31_05204
ref_mOTU_v31_05401	4	17.0	9.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; m__ref_mOTU_v31_05401
ref_mOTU_v31_00096	4	16.0	7.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter; m__ref_mOTU_v31_00096
meta_mOTU_v31_12366	4	15.0	12.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__meta_mOTU_v31_12366
meta_mOTU_v31_12785	4	15.0	10.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; m__meta_mOTU_v31_12785
meta_mOTU_v31_12473	4	14.0	11.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12473
ref_mOTU_v31_01594	4	13.0	10.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_01594
ref_mOTU_v31_07315	4	13.0	8.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Flavonifractor; m__ref_mOTU_v31_07315
ref_mOTU_v31_03673	4	9.0	5.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; m__ref_mOTU_v31_03673
ref_mOTU_v31_04716	4	9.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruthenibacterium; m__ref_mOTU_v31_04716
ref_mOTU_v31_06110	4	9.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__ref_mOTU_v31_06110
ref_mOTU_v31_02968	4	4.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales fam. [Clostridiaceae/Ruminococcaceae]; g__Clostridiales gen. [Clostridium/Flavonifractor]; m__ref_mOTU_v31_02968
ref_mOTU_v31_07640	4	4.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_07640
ref_mOTU_v31_01597	3	144.0	141.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ref_mOTU_v31_01597
ref_mOTU_v31_03473	3	65.0	57.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ref_mOTU_v31_03473
ext_mOTU_v31_16302	3	59.0	57.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__ext_mOTU_v31_16302
ref_mOTU_v31_02376	3	56.0	54.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__ref_mOTU_v31_02376
ref_mOTU_v31_07675	3	46.0	43.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__ref_mOTU_v31_07675
meta_mOTU_v31_13253	3	30.0	21.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__; m__meta_mOTU_v31_13253
ref_mOTU_v31_02810	3	29.0	20.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ref_mOTU_v31_02810
ref_mOTU_v31_03682	3	16.0	14.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; m__ref_mOTU_v31_03682
meta_mOTU_v31_12799	3	13.0	8.0	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus; m__meta_mOTU_v31_12799
ref_mOTU_v31_02190	3	10.0	8.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerotignum; m__ref_mOTU_v31_02190
ref_mOTU_v31_02374	3	8.0	5.0	k__Bacteria; p__Firmicutes; c__Firmicutes class [Clostridia/Bacilli]; o__Firmicutes order [Clostridiales/Lactobacillales]; f__Firmicutes fam. [Lachnospiraceae/Lactobacillaceae]; g__Firmicutes gen. [Lactobacillus/Lachnospira]; m__ref_mOTU_v31_02374
ref_mOTU_v31_08865	3	8.0	5.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_08865
meta_mOTU_v31_12262	3	6.0	4.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; m__meta_mOTU_v31_12262
meta_mOTU_v31_12284	3	6.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12284
