Feature ID	Taxon
ext_mOTU_v31_17878	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_17878
ext_mOTU_v31_17888	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__; m__ext_mOTU_v31_17888
ext_mOTU_v31_17914	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__ext_mOTU_v31_17914
ext_mOTU_v31_17915	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__ext_mOTU_v31_17915
ext_mOTU_v31_17946	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_17946
ext_mOTU_v31_17985	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_17985
ext_mOTU_v31_18001	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ext_mOTU_v31_18001
ext_mOTU_v31_18008	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_18008
ext_mOTU_v31_18028	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_18028
ext_mOTU_v31_18029	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__; m__ext_mOTU_v31_18029
ext_mOTU_v31_18031	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__ext_mOTU_v31_18031
ext_mOTU_v31_18046	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; m__ext_mOTU_v31_18046
ext_mOTU_v31_18146	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus; m__ext_mOTU_v31_18146
ext_mOTU_v31_18155	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_18155
ext_mOTU_v31_18178	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_18178
ext_mOTU_v31_18233	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__ext_mOTU_v31_18233
ext_mOTU_v31_18249	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ext_mOTU_v31_18249
ext_mOTU_v31_18252	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__; m__ext_mOTU_v31_18252
ext_mOTU_v31_18397	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_18397
ext_mOTU_v31_19618	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_19618
ext_mOTU_v31_25009	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ext_mOTU_v31_25009
ext_mOTU_v31_26761	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; m__ext_mOTU_v31_26761
ext_mOTU_v31_26815	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; m__ext_mOTU_v31_26815
ext_mOTU_v31_26824	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; m__ext_mOTU_v31_26824
ext_mOTU_v31_26918	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; m__ext_mOTU_v31_26918
ext_mOTU_v31_26960	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_26960
ext_mOTU_v31_27078	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; m__ext_mOTU_v31_27078
ext_mOTU_v31_27106	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_27106
ext_mOTU_v31_27183	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; m__ext_mOTU_v31_27183
ext_mOTU_v31_27192	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_27192
ext_mOTU_v31_27224	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__ext_mOTU_v31_27224
ext_mOTU_v31_27225	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__ext_mOTU_v31_27225
ext_mOTU_v31_27248	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_27248
ext_mOTU_v31_27443	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; m__ext_mOTU_v31_27443
ext_mOTU_v31_29425	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__ext_mOTU_v31_29425
ext_mOTU_v31_33921	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_33921
ext_mOTU_v31_34556	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_34556
meta_mOTU_v31_12227	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; m__meta_mOTU_v31_12227
meta_mOTU_v31_12229	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12229
meta_mOTU_v31_12233	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_12233
meta_mOTU_v31_12239	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__meta_mOTU_v31_12239
meta_mOTU_v31_12240	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; m__meta_mOTU_v31_12240
meta_mOTU_v31_12251	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12251
meta_mOTU_v31_12252	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12252
meta_mOTU_v31_12254	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12254
meta_mOTU_v31_12259	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__meta_mOTU_v31_12259
meta_mOTU_v31_12260	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__meta_mOTU_v31_12260
meta_mOTU_v31_12262	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; m__meta_mOTU_v31_12262
meta_mOTU_v31_12266	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Tyzzerella; m__meta_mOTU_v31_12266
meta_mOTU_v31_12284	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12284
meta_mOTU_v31_12288	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12288
meta_mOTU_v31_12301	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12301
meta_mOTU_v31_12309	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12309
meta_mOTU_v31_12314	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__meta_mOTU_v31_12314
meta_mOTU_v31_12324	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_12324
meta_mOTU_v31_12325	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__meta_mOTU_v31_12325
meta_mOTU_v31_12331	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__meta_mOTU_v31_12331
meta_mOTU_v31_12336	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Butyricicoccus; m__meta_mOTU_v31_12336
meta_mOTU_v31_12352	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__meta_mOTU_v31_12352
meta_mOTU_v31_12356	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12356
meta_mOTU_v31_12361	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12361
meta_mOTU_v31_12362	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__meta_mOTU_v31_12362
meta_mOTU_v31_12366	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__meta_mOTU_v31_12366
meta_mOTU_v31_12376	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__meta_mOTU_v31_12376
meta_mOTU_v31_12403	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__meta_mOTU_v31_12403
